Milliseconds,Voltage
2823,1373
2834,1346
2845,1362
2856,1390
2868,1422
2879,1399
2891,1411
2903,1413
2914,1435
2925,1439
2936,1457
2948,1469
2960,1460
2971,1474
2982,1427
2994,1398
3005,1402
3017,1389
3028,1397
3040,1403
3051,1407
3062,1431
3074,1441
3086,1408
3097,1397
3108,1425
3120,1380
3131,1388
3142,1414
3154,1397
3166,1368
3177,1396
3188,1359
3200,1318
3211,1342
3223,1301
3234,1311
3246,1274
3257,1296
3268,1257
3279,1244
3292,1207
3303,1206
3314,1234
3325,1246
3337,1246
3348,1250
3360,1266
3372,1272
3383,1280
3394,1308
3405,1307
3418,1309
3429,1264
3440,1249
3451,1261
3463,1281
3474,1321
3486,1359
3497,1318
3509,1291
3520,1266
3531,1259
3543,1303
3555,1305
3566,1276
3577,1322
3589,1293
3600,1250
3611,1203
3623,1229
3635,1210
3646,1183
3657,1213
3668,1188
3680,1214
3692,1262
3703,1310
3715,1320
3726,1360
3737,1402
3749,1395
3761,1441
3772,1412
3783,1412
3794,1444
3806,1415
3818,1372
3829,1331
3841,1347
3852,1338
3863,1382
3874,1426
3887,1419
3898,1429
3909,1412
3920,1407
3932,1380
3943,1349
3955,1375
3966,1393
3978,1395
3989,1399
4000,1419
4012,1402
4024,1393
4035,1348
4046,1323
4058,1335
4069,1322
4080,1324
4092,1330
4104,1364
4115,1327
4126,1373
4137,1366
4150,1327
4161,1331
4172,1302
4184,1302
4195,1332
4206,1307
4218,1294
4230,1245
4241,1291
4252,1293
4263,1341
4275,1381
4287,1383
4298,1395
4310,1399
4321,1443
4332,1451
4343,1479
4356,1468
4367,1498
4378,1491
4389,1509
4401,1460
4412,1429
4424,1431
4435,1459
4447,1450
4458,1445
4469,1483
4482,1444
4493,1435
4504,1396
4515,1404
4527,1422
4538,1422
4550,1456
4561,1484
4573,1435
4584,1412
4595,1395
4606,1356
4619,1331
4630,1357
4641,1405
4653,1419
4664,1414
4675,1387
4687,1350
4699,1368
4710,1396
4721,1365
4732,1369
4744,1399
4756,1396
4767,1436
4779,1454
4790,1413
4801,1398
4812,1402
4825,1401
4836,1394
4847,1359
4858,1322
4870,1324
4882,1287
4893,1299
4904,1284
4916,1308
4927,1283
4938,1295
4951,1286
4962,1241
4973,1198
4984,1218
4996,1260
5007,1247
5019,1247
5030,1257
5042,1287
5053,1333
5064,1333
5075,1351
5088,1383
5099,1368
5110,1345
5122,1351
5133,1314
5144,1301
5156,1315
5168,1288
5179,1257
5190,1291
5201,1256
5214,1304
5225,1267
5236,1256
5248,1260
5259,1243
5270,1208
5282,1254
5294,1266
5305,1290
5316,1314
5327,1316
5339,1283
5351,1268
5362,1255
5373,1242
5385,1225
5396,1267
5407,1287
5420,1333
5431,1286
5442,1271
5453,1303
5465,1256
5476,1241
5488,1194
5499,1204
5511,1155
5522,1169
5533,1193
5544,1184
5557,1206
5568,1185
5579,1160
5591,1166
5602,1147
5614,1151
5625,1191
5637,1239
5648,1198
5659,1232
5670,1276
5683,1257
5694,1281
5705,1315
5716,1288
5728,1328
5739,1336
5751,1354
5763,1353
5774,1330
5785,1293
5796,1325
5808,1331
5820,1290
5831,1247
5842,1279
5854,1279
5865,1301
5876,1254
5889,1292
5900,1271
5911,1311
5922,1321
5934,1294
5946,1257
5957,1210
5968,1203
5,1327
6048,1290
6060,1296
6071,1324
6083,1328
6094,1346
6106,1384
6117,1377
6128,1401
6139,1390
6152,1418
6163,1418
6174,1454
6185,1460
6197,1415
6208,1457
6220,1475
6232,1470
6243,1480
6254,1479
6265,1450
6277,1498
6289,1465
6300,1481
6311,1485
69,1370
6860,1343
6872,1302
6884,1304
6895,1285
6906,1254
6918,1280
6929,1314
6940,1314
6952,1313
6964,1323
6975,1312
6986,1358
6998,1347
7009,1359
7021,1328
7032,1372
7044,1400
7055,1440
7066,1429
7078,1388
7090,1424
7101,1442
7112,1478
7123,1447
0,0
7639,1535
7650,1555
7661,1587
7672,1560
7685,1519
7696,1525
7707,1533
7718,1484
7730,1469
7741,1450
7753,1433
7764,1453
7776,1436
7787,1417
7798,1368
7811,1345
7822,1312
7833,1265
7844,1309
7856,1357
7867,1381
7879,1391
7890,1370
7902,1380
0,0
8451,1281
8462,1242
8473,1278
8485,1278
8497,1304
8508,1352
8519,1384
8530,1381
8543,1405
8554,1421
8565,1394
8577,1347
8588,1393
8599,1348
8611,1343
8623,1308
8634,1259
8645,1281
8656,1329
8668,1365
8680,1403
8691,1382
8702,1345
8714,1302
87259229,1380
9240,1410
9251,1456
9263,1437
9275,1394
9286,1357
9297,1324
9309,1309
9320,1345
9331,1334
9344,1366
9355,1384
9366,1418
9377,1393
9389,1364
9400,1339
9412,1294
9423,1338
9435,1293
9446,1309
9457,1331
9468,1369
9481,1360
9492,1384
9503,14107
10019,1730
10032,1683
10044,1652
10056,1672
10068,1708
10082,1705
10094,1729
10106,1763
10119,1811
10131,1849
10144,1804
10157,1759
10169,1752
10181,1760
10193,1806
10207,1828
10219,1815
10231,1829
10244,1800
10256,1844
10268,1852
10281,1900
792,2126
10806,2150
10818,2150
10830,2119
10843,2088
10855,2087
10867,2066
10881,2017
10893,1982
10905,2024
10917,2054
10930,2102
10943,2091
10955,2046
10968,2054
10980,2037
10992,1988
11005,2032
11018,2017
11030,2006
11042,1997
11055,1954
11067,2002542
11554,2229
11567,2220
11579,2238
11591,2250
11604,2239
11617,2238
11629,2229
11641,2229
11654,2222
11666,2240
11679,2256
11692,2276
11704,2298
11716,2330
11728,2297
11742,2337
11754,2351
11766,2367
11779,2399
11791,2378
11804,2424
11816,2389
12327,2578
12341,2608
12353,2650
12365,2662
12378,2682
12390,2647
12403,2649
12416,2683
12428,2656
12440,2680
12452,2688
12465,2736
12478,2772
12490,2784
12503,2759
12515,2799
12527,2794
12540,2828
12553,2858
12565,2835
12577,2802
12590,2840
13114,2868
13126,2892
13139,2859
13152,2865
13164,2836
13176,2860
13189,2866
13202,2890
13214,2916
13227,2897
13239,2933
13251,2937
13263,2902
13277,2879
13289,2876
13301,2902
13314,2855
13326,2806
13339,2777
13351,2799
13364,2784
13376,2749
0,0
13888,3030
13900,3064
13913,3037
13925,3034
13938,3038
13950,3060
13963,3102
13975,3075
13987,3034
14001,3054
14013,3068
14025,3102
14038,3116
14050,3107
14062,3094
14075,3053
14088,3030
14100,3011
14112,2964
14125,3004
14138,2971
14150,3019
14162,337
14649,2711
14661,2696
14674,2714
14687,2756
14699,2755
14711,2712
14724,2734
14737,2770
14749,2808
14761,2834
14774,2836
14786,2825
14799,2867
14812,2826
14824,2809
14836,2843
14849,2812
14861,2832
14874,2846
14886,2880
14899,2869
14911,2830
15423,2623
15435,2582
15448,2630
15460,2662
15473,2643
15485,2685
15498,2654
15510,2666
15522,2653
15536,2638
15548,2629
15560,2602
15572,2610
15585,2577
15598,2568
15610,2565
15623,2599
15635,2574
15647,2547
15660,2544
15673,2519
15685,2561
15697,27
16209,2624
16222,2597
16234,2637
16246,2685
16259,2670
16272,2621
16284,2596
16296,2547
16309,2571
16321,2548
16334,2499
16347,2527
16359,2535
16371,2535
16384,2516
16397,2536
16409,2527
16421,2492
16434,2534
16446,2578
16458,2567
16472,2550
0,0
16958,2651
16970,2671
16983,2691
16996,2725
17008,2773
17020,2750
17033,2713
17045,2725
17057,2680
17071,2716
17083,2724
17095,2699
17107,2735
17120,2761
17133,2795
17145,2801
17158,2790
17170,2818
17182,2797
17196,2819
17208,2802
17220,2838
1723732,2551
17744,2555
17757,2518
17769,2560
17781,2570
17795,2569
17807,2601
17819,2637
17831,2673
17844,2695
17856,2733
17869,2726
17882,2758
17894,2751
17906,2710
17918,2744
17932,2788
17944,2808
17956,2818
17969,2864
17981,2835
17994,2818
18007,278
18518,2846
18531,2845
18543,2873
18555,2877
18568,2864
18580,2880
18593,2906
18606,2877
18618,2913
18630,2933
18642,2932
18655,2925
18668,2904
18680,2924
18693,2928
18705,2966
18717,2953
18731,2997
18743,2997
18755,2994
18767,2989
18780,3033
187932,2624
19304,2650
19316,2670
19330,2706
19342,2716
19354,2697
19366,2670
19379,2716
19392,2683
19404,2662
19417,2686
19429,2649
19441,2638
19453,2654
19467,2631
19479,2590
19491,2585
19504,2566
19516,2535
19529,2512
19542,2512
19554,2526
19566,2519
0,0
20078,2376
20090,2331
20103,2282
20115,2316
20128,2277
20141,2260
20153,2231
20165,2212
20177,2242
20191,2246
20203,2290
20215,2277
20228,2321
20240,2304
20252,2287
20265,2299
20278,2325
20290,2300
20302,2259
20315,2299
20328,2256
20340,2227
20353,225
20865,2332
20877,2338
20889,2291
20901,2274
20914,2316
20927,2291
20939,2246
20952,2237
20964,2285
20976,2309
20989,2349
21002,2355
21014,2310
21026,2265
21039,2222
21051,2177
21064,2195
21076,2231
21089,2247
21101,2222
21113,2244
21127,2217
21139,2233
21650,2218
21663,2173
21676,2164
21688,2166
21700,2188
21712,2153
21726,2169
21738,2217
21750,2263
21763,2291
21775,2323
21788,2363
21800,2391
21813,2399
21825,2415
21837,2390
21850,2402
21863,2361
21875,2352
21888,2386
21900,2400
21912,2402
7,2260
22400,2282
22412,2243
22424,2242
22436,2268
22449,2225
22462,2186
22474,2159
22487,2156
22499,2155
22511,2191
22524,2239
22537,2263
22549,2293
22561,2258
22574,2239
22587,2277
22599,2240
22611,2223
22624,2271
22636,2295
22648,2284
22662,2265
3110,2329
23123,2333
23136,2328
23148,2281
23160,2278
23173,2273
23186,2242
23198,2211
23211,2227
23223,2222
23235,2268
23247,2272
23261,2312
23273,2265
23285,2267
23298,2252
23310,2209
23323,2229
23335,2263
23348,2232
23360,2187
23372,2203
23386,21927
23810,2014
23822,1997
23834,1986
23846,2008
23860,1993
23872,1999
23884,2041
23897,2083
23909,2107
23922,2133
23934,2090
23947,2087
23959,2042
23971,2056
23985,2039
23997,2051
24009,2077
24022,2062
24034,2057
24046,2093
24059,2117
24072,2121
83,2049
24496,2093
24508,2117
24521,2104
24534,2089
24546,2089
24558,2048
24570,2045
24584,2047
24596,2053
24608,2040
24621,2058
24633,2066
24645,2104
24658,2136
24671,2093
24683,2056
24695,2090
24708,2122
24721,2087
24733,2125
24745,2112
24758,2087
25207,2326
25220,2366
25232,2341
25244,2320
25257,2287
25270,2274
25282,2269
25294,2254
25307,2219
25320,2202
25332,2244
25345,2290
25357,2332
25369,2368
25382,2410
25395,2430
25407,2460
25419,2419
25432,2419
25444,2390
25457,2351
25469,2344
25482,2
25931,2385
25944,2384
25956,2420
25968,2397
25981,2364
25994,2394
26006,2345
26018,2308
26031,2269
26043,2307
26056,2260
26068,2257
26081,2208
26093,2163
26105,2120
26119,2152
26131,2174
26143,2220
26156,2234
26168,2282
26181,2318
26193,2315
26642,2227
26655,2251
26668,2255
26680,2244
26692,2229
26704,2208
26718,2252
26730,2221
26742,2208
26755,2201
26767,2247
26780,2220
26792,2211
26805,2243
26817,2283
26829,2295
26842,2266
26855,2282
26867,2255
26880,2293
26892,2325
26904,2282
26917,223997
27366,1909
27379,1884
27392,1910
27404,1918
27416,1893
27428,1864
27441,1823
27454,1847
27466,1810
27479,1838
27491,1842
27503,1833
27516,1871
27529,1891
27541,1925
27553,1916
27566,1954
27579,1974
27591,1941
27603,1975
27616,1934
27628,1907
0,0
28053,2070
28065,2043
28078,2075
28090,2081
28102,2074
28115,2035
28128,2008
28140,2032
28152,1999
28165,1996
28178,2014
28190,2009
28203,2013
28215,2057
28227,2020
28239,1993
28253,2027
28265,2010
28277,1965
28290,2009
28302,1992
28315,1987
0,0
28777,1945
28789,1906
28802,1914
28814,1938
28826,1933
28838,1947
28852,1993
28864,2013
28876,2035
28889,2077
28901,2085
28914,2048
28926,2092
28939,2073
28951,2119
28963,2143
28977,2114
28989,2148
29001,2152
29014,2152
29026,2115
29038,2115
290488,1979
29500,1938
29513,1948
29526,1901
29538,1929
29550,1902
29562,1867
29576,1871
29588,1873
29600,1826
29613,1830
29625,1854
29637,1862
29650,1904
29663,1885
29675,1911
29687,1921
29700,1916
29713,1877
29725,1850
29737,1809
29750,1798
30212,1883
30224,1866
30236,1908
30249,1891
30262,1917
30274,1878
30286,1829
30299,1828
30312,1846
30324,1888
30337,1910
30349,1905
30361,1943
30374,1987
30387,1976
30399,1973
30411,1981
30424,1999
30436,2039
30449,2008
30461,1971
30474,1924
0,0
30898,1684
30911,1690
30923,1716
30936,1720
30948,1742
30960,1770
30973,1804
30986,1838
30998,1862
31010,1862
31023,1819
31035,1798
31048,1814
31060,1824
31073,1781
31085,1744
31097,1780
31111,1786
31123,1786
31135,1824
31148,1854
31160,1902
31173,1647
31660,1997
31672,1980
31684,1939
31696,1922
31710,1934
31722,1905
31734,1951
31747,1914
31759,1958
31772,1982
31784,2008
31797,1991
31809,2005
31821,1996
31834,2034
31847,2036
31859,2015
31872,2051
31884,2063
31896,2105
31909,2113
31922,20983
32371,1905
32384,1925
32396,1882
32408,1894
32420,1845
32433,1824
32446,1791
32458,1742
32471,1758
32483,1709
32495,1660
32508,1680
32521,1641
32533,1673
32545,1656
32558,1688
32571,1734
32583,1780
32595,1798
32608,1755
32620,1771
32632,1777
0,0
33057,1578
33070,1594
33082,1624
33094,1591
33107,1591
33120,1623
33132,1631
33144,1679
33157,1678
33170,1647
33182,1634
33195,1605
33207,1607
33219,1611
33231,1586
33245,1581
33257,1623
33269,1633
33282,1645
33294,1663
33307,1650
33319,1625
3369,1702
33781,1746
33794,1764
33806,1792
33818,1791
33830,1801
33844,1786
33856,1755
33868,1783
33881,1787
33893,1795
33906,1786
33918,1802
33931,1830
33943,1807
33955,1827
33969,1818
33981,1826
33993,1805
34006,1817
34018,1863
34030,1867
34043,1834
4492,1686
34505,1665
34518,1624
34530,1628
34542,1579
34554,1538
34568,1568
34580,1588
34592,1551
34605,1532
34617,1556
34629,1574
34642,1622
34655,1579
34667,1583
34679,1585
34692,1550
34705,1574
34717,1620
34729,1644
34742,1623
34754,1612
34767,159
35179,1516
35191,1473
35204,1472
35216,1498
35228,1493
35241,1499
35254,1464
35266,1464
35278,1480
35291,1506
35304,1499
35316,1521
35329,1476
35341,1443
35353,1443
35366,1449
35379,1404
35391,1408
35403,1365
35416,1324
35428,1319
35441,1367
35453,1461
35903,1497
35915,1525
35928,1502
35940,1530
35952,1493
35965,1529
35978,1573
35990,1544
36002,1543
36015,1583
36027,1617
36040,1614
36052,1607
36065,1606
36077,1599
36089,1623
36103,1610
36115,1622
36127,1599
36140,1574
36152,1527
36165,1539
361614,1373
36626,1407
36639,1417
36652,1368
36664,1410
36676,1428
36688,1454
36702,1443
36714,1400
36726,1393
36739,1350
36751,1309
36764,1268
36776,1300
36789,1255
36801,1248
36813,1290
36826,1308
36839,1334
36851,1331
36864,1351
36876,1314
36888,13361410
37313,1399
37325,1394
37338,1385
37350,1397
37363,1407
37376,1449
37388,1406
37400,1393
37412,1423
37425,1447
37438,1402
37450,1426
37463,1415
37475,1425
37487,1394
37500,1424
37513,1415
37525,1421
37537,1400
37550,1351
37563,1363
37575,1375
3738024,1585
38037,1544
38049,1586
38062,1551
38074,1528
38086,1511
38099,1506
38112,1491
38124,1450
38136,1452
38149,1500
38162,1475
38174,1436
38187,1446
38199,1454
38211,1427
38223,1443
38237,1408
38249,1446
38261,1403
38274,1366
38286,1355
38299,1392
38748,1414
38761,1411
38773,1419
38786,1390
38798,1365
38810,1409
38822,1453
38836,1438
38848,1466
38860,1427
38873,1412
38885,1387
38898,1366
38910,1382
38923,1365
38935,1342
38947,1323
38961,1320
38973,1354
38985,1351
38998,1350
39010,1350
3902459,1424
39472,1383
39484,1421
39497,1382
39510,1351
39522,1302
39534,1255
39546,1291
39560,1264
39572,1266
39584,1268
39597,1278
39609,1284
39621,1298
39634,1304
39647,1261
39659,1291
39671,1242
39684,1264
39697,1280
39709,1312
39721,1360
39734,13435
40159,1747
40171,1779
40183,1795
40196,1762
40208,1743
40220,1779
40233,1772
40246,1747
40258,1763
40270,1775
40283,1746
40296,1737
40308,1763
40321,1811
40333,1821
40345,1818
40358,1791
40371,1746
40383,1794
40395,1793
40408,1788
40420,1836
869,1464
40882,1451
40895,1438
40907,1474
40920,1494
40932,1528
40944,1542
40957,1584
40970,1610
40982,1648
40994,1662
41007,1706
41019,1738
41032,1740
41044,1705
41057,1664
41069,1686
41081,1645
41095,1655
41107,1655
41119,1699
41132,1658
41144,1641556
41569,1567
41581,1566
41593,1584
41606,1588
41618,1614
41631,1616
41644,1589
41656,1566
41668,1541
41680,1492
41694,1465
41706,1513
41718,1492
41731,1459
41743,1483
41756,1525
41768,1508
41781,1510
41793,1483
41805,1458
41818,1504
41831,1499305
42317,1554
42330,1509
42342,1480
42355,1520
42368,1491
42380,1529
42392,1506
42404,1477
42417,1432
42430,1462
42442,1445
42455,1491
42467,1456
42479,1437
42492,1467
42505,1446
42517,1460
42529,1441
42542,1410
42555,1383
42567,1429
42579,140291
43003,1603
43016,1570
43029,1616
43041,1581
43054,1627
43066,1641
43078,1689
43091,1648
43104,1670
43116,1678
43128,1635
43141,1632
43154,1609
43166,1637
43179,1610
43191,1605
43203,1598
43215,1638
43229,1670
43241,1667
43253,1652
43266,1613
0,0
43715,1735
43727,1765
43740,1785
43753,1819
43765,1845
43778,1861
43790,1873
43802,1903
43814,1858
43828,1819
43840,1867
43852,1877
43865,1838
43877,1819
43890,1784
43902,1794
43915,1749
43927,1777
43939,1821
43953,1786
43965,1788
43977,1771
43990,44401
44413,1694
44427,1722
44439,1697
44451,1717
44464,1696
44476,1651
44489,1695
44502,1652
44514,1662
44526,1698
44538,1702
44552,1663
44564,1693
44576,1699
44589,1703
44601,1696
44613,1695
44626,1729
44639,1741
44651,1726
44663,1732
44676,1741
45125,2044
45137,2011
45151,2033
45163,2033
45175,2012
45188,2030
45200,2070
45212,2057
45225,2089
45238,2103
45250,2096
45262,2091
45275,2117
45288,2108
45300,2095
45313,2072
45325,2082
45337,2120
45350,2085
45363,2064
45375,2070
45387,2037
45400837,2390
45849,2434
45861,2438
45874,2448
45887,2490
45899,2441
45912,2477
45924,2438
45936,2476
45949,2437
45962,2449
45974,2418
45986,2407
45999,2455
46011,2410
46024,2458
46036,2462
46049,2461
46061,2424
46073,2448
46087,2450
46099,2435
46111,23986
46561,2440
46573,2393
46585,2441
46598,2402
46610,2359
46623,2393
46636,2397
46648,2397
46660,2399
46672,2405
46686,2439
46698,2422
46710,2399
46723,2405
46735,2421
46748,2457
46760,2495
46773,2497
46785,2494
46797,2483
46810,2531
46823,2575
468347,2442
47259,2444
47271,2456
47285,2484
47297,2494
47309,2465
47322,2475
47334,2470
47347,2437
47360,2414
47372,2452
47384,2492
47396,2471
47409,2444
47422,2403
47434,2417
47447,2386
47459,2396
47471,2377
47484,2374
47497,2337
47509,2322
47521,2295
47971,2438
47983,2435
47995,2457
48008,2416
48021,2418
48033,2393
48046,2407
48058,2445
48070,2479
48083,2503
48096,2496
48108,2485
48120,2485
48133,2507
48146,2498
48158,2514
48171,2550
48183,2582
48195,2616
48207,2613
48221,2568
48233,2565
48245,564
48657,2551
48669,2506
48683,2473
48695,2428
48707,2389
48719,2435
48732,2455
48745,2481
48757,2513
48770,2484
48782,2520
48794,2481
48806,2511
48820,2472
48832,2459
48844,2448
48857,2421
48869,2427
48882,2475
48894,2485
48907,2438
48919,2409
4899,2441
49381,2487
49393,2446
49405,2494
49419,2540
49431,2535
49443,2524
49456,2515
49468,2482
49481,2482
49494,2518
49506,2511
49518,2555
49530,2585
49544,2625
49556,2616
49568,2656
49581,2635
49593,2630
49605,2634
49618,2660
49631,2659
49643,2687
0,0
50067,2484
50080,2514
50093,2487
50105,2440
50117,2417
50129,2368
50143,2378
50155,2422
50167,2456
50180,2476
50192,2512
50204,24810
10,1027
20,1002
30,997
40,997
52,1043
62,1089
72,1072
82,1055
93,1008
103,1048
114,1080
124,1090
135,1128
145,1113
155,1117
166,1082
177,1043
187,1083
197,1050
10,936
20,966
30,1012
40,1005
51,992
62,947
72,947
82,902
93,910
103,916
113,934
123,982
135,994
145,1034
155,1048
165,1052
176,1041
187,1047
197,1083
207,1064
218,1100
228,1095
239,1058
249,1025
260,984
270,1012
280,1007
291,988
302,994
312,953
322,985
332,1013
344,1021
354,980
364,937
374,937
385,973
395,997
406,960
416,966
427,1008
437,1048
447,1021
458,1002
468,981
479,997
489,984
499,1022
510,1048
521,1064
531,1088
541,1100
551,1059
563,1091
573,1119
583,1159
593,1120
604,1134
615,1182
625,1175
635,1150
646,1166
656,1117
667,1117
677,1121
688,1072
698,1076
709,1094
719,1045
730,1053
740,1083
750,1068
761,1025
772,1061
782,1020
792,979
802,976
814,975
824,1005
834,1000
844,1030
855,1056
866,1084
876,1045
886,1085
897,1121
907,1084
918,1063
928,1099
939,1066
949,1110
959,1124
970,1160
980,1119
991,1100
1001,1087
1012,1076
1022,1122
1033,1085
1043,1068
1054,1088
1064,1039
1075,1012
1085,1026
1096,1070
1106,1035
1117,1049
1127,1093
1138,1052
1148,1096
1159,1083
1169,1072
1180,1098
1190,1122
1201,1117
1212,1145
1222,1183
1232,1180
1243,1133
1254,1149
1264,1193
1274,1176
1285,1194
1296,1234
1306,1278
1316,1243
1327,1196
1338,1195
1348,1219
1358,1172
1369,1123
1380,1120
1390,1073
1400,1024
1411,1050
1422,1035
1432,1008
1442,1032
1454,1036
1464,1052
1474,1078
1484,1031
1496,1006
1506,997
1516,996
1526,1032
1538,999
1548,976
1558,941
1568,902
1579,914
1590,928
1600,891
1610,862
1620,870
1631,898
1642,942
1652,980
1662,984
1673,1026
1684,1040
1694,1009
1704,1033
1715,1059
1726,1026
1736,1015
1746,1025
1757,1071
1768,1089
1778,1123
1788,1129
1799,1141
1810,1151
1821,1114
1832,1140
1844,1099
1855,1086
1866,1114
1878,1065
1890,1109
1901,1096
1912,1057
1924,1089
1935,1048
1946,1058
1958,1066
1970,1047
1981,1095
1992,1115
2003,1082
2015,1045
2027,1016
2038,1056
2050,1098
2061,1106
2072,1114
2083,1156
2096,1170
2107,1121
2118,1135
2129,1151
2141,1124
2153,1162
2164,1196
2176,1177
2187,1170
2198,1153
2209,1134
2222,1107
2233,1155
2244,1189
2255,1229
2267,1200
2278,1163
2290,1199
2301,1156
2313,1139
2324,1108
2335,1116
2347,1089
2359,1066
2370,1068
2381,1051
2393,1032
2404,1021
2415,1016
2427,967
2438,936
2448,909
2458,868
2469,857
2480,869
2490,913
2500,951
2510,920
2522,962
2532,1004
2542,1036
2554,1072
2566,1088
2577,1108
2588,1126
2599,1166
2611,1127
2623,1155
2634,1201
2646,1186
2657,1169
2668,1134
2679,1148
2692,1176
2703,1131
2714,1108
2725,1144
2737,1099
2748,1068
2760,1114
2771,1132
2783,1093
2794,1115
2805,1133
2818,1092
2829,1071
2840,1099
2851,1107
2863,1153
2874,1185
2886,1223
2897,1243
2909,1279
2920,1254
2931,1282
2942,1286
2955,1326
2966,1328
2977,1287
2989,1248
3000,1213
3011,1174
3023,1216
3035,1256
3046,1249
3057,1269
3068,1222
3080,1183
3092,1158
3103,1166
3115,1151
3126,1126
3137,1148
3148,1170
3161,1182
3172,1202
3183,1214
3194,1258
3206,1302
3218,1338
3229,1321
3240,1282
3252,1277
3263,1272
3274,1316
3287,1316
3298,1362
3309,1357
3320,1344
3332,1384
3343,1398
3355,1440
3366,1474
3378,1512
3389,1542
3400,1513
3411,1472
3424,1492
3435,1508
3446,1528
3458,1517
3469,1486
3480,1481
3492,1497
3504,1507
3515,1527
3526,1531
3537,1488
3550,1475
3561,1505
3572,1519
3584,1547
3595,1538
3606,1546
3618,1525
3630,1524
3641,1550
3652,1525
3663,1535
3675,1490
3687,1483
3698,1531
3709,1531
3721,1537
3732,1488
3743,1443
3756,1422
3767,1444
3778,1443
3789,1487
3801,1444
3812,1462
3824,1459
3835,1495
3847,1527
3858,1514
3869,1471
3880,1452
3893,1486
3904,1518
3915,1477
3927,1501
3938,1547
3950,1583
3961,1587
3973,1589
3984,1629
3995,1655
4006,1636
4019,1664
4030,1688
4041,1675
4052,1697
4064,1662
4075,1672
4087,1651
4099,1624
4110,1615
4121,1596
4132,1557
4144,1565
4156,1565
4167,1524
4178,1519
4190,1476
4201,1445
4212,1398
4225,1381
4236,1340
4247,1309
4258,1341
4270,1383
4282,1348
4293,1301
4304,1303
4316,1288
4327,1271
4338,1264
4350,1308
4362,1261
4373,1281
4384,1262
4396,1221
4407,1265
4419,1250
4430,1213
4442,1259
4453,1224
4464,1179
4475,1197
4488,1231
4499,1228
4510,1213
4521,1182
4533,1177
4544,1185
4556,1195
4568,1180
4579,1177
4590,1207
4601,1223
4614,1233
4625,1232
4636,1203
4647,1182
4659,1175
4670,1164
4682,1143
4694,1179
4705,1146
4716,1148
4727,1196
4739,1212
4751,1205
4762,1209
4773,1160
4785,1157
4796,1201
4807,1211
4819,1215
4831,1188
4842,1161
4853,1185
4865,1195
4876,1205
4888,1215
4899,1223
4911,1210
4922,1171
4933,1193
4944,1164
4957,1155
4968,1106
4979,1091
4990,1068
5002,1023
5014,1037
5025,1014
5037,1022
5048,1024
5059,993
5069,993
5081,960
5091,994
5101,1030
5112,1007
5124,1035
5135,1012
